date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning
2000-01-18,sh.600000,1.9194525,1.92493665,1.8708786,1.8912483,1.911618,7693316,185091684.0,2,1.923329,1,-1.065575,0,-0.4084859895298621,0.0,0.018641259320629766,true,0.06379453189726592,true,0.04266777133388566,true
2000-01-19,sh.600000,1.8912483,1.90300005,1.8787131,1.89046485,1.8912483,4658411,112325238.0,2,1.164603,1,-0.041426,0,-0.40711819614486133,0.0,0.011603812681309389,true,0.044343141317861434,true,0.07003729796933267,true
2000-01-20,sh.600000,1.8896814,1.93120425,1.8881145,1.9147518,1.89046485,5114418,124668176.0,2,1.278604,1,1.284714,0,-0.3892634855094999,0.0,0.006137479541735047,true,0.01882160392798693,true,0.0400981996726677,true
2000-01-21,sh.600000,1.92023595,1.92963735,1.8865476,1.90143315,1.9147518,8138669,197523215.0,2,2.034667,1,-0.695581,0,-0.47713054151138995,0.0,0.031726411207251726,true,0.016893283889575672,true,0.07128141738772165,true
2000-01-24,sh.600000,1.895949,1.89986625,1.87636275,1.8943821,1.90143315,9250250,222404435.0,2,2.312562,1,-0.370829,0,-0.4786840982187401,0.0,0.12489660876757669,true,0.06699751861042169,true,0.058726220016542374,true
2000-01-25,sh.600000,1.8943821,1.9711602,1.8943821,1.92650355,1.8943821,7742275,191183031.0,2,1.935569,1,1.695616,0,-0.4679283124380729,0.0,0.04432696217974774,true,0.006506710044733577,true,0.049206994713298036,true
2000-01-26,sh.600000,1.927287,1.942956,1.90456695,1.91240145,1.92650355,2737753,67037918.0,2,0.684438,1,-0.732006,0,-0.38727731319096886,0.0,0.032363785333879624,true,0.0077836952068823795,true,0.052437525604260626,true
2000-01-27,sh.600000,1.91710215,1.9413891,1.895949,1.92650355,1.91240145,6335055,154926927.0,2,1.583764,1,0.737404,0,-0.38375940924074,0.0,0.012606750711671388,true,0.0093533956893046,true,0.07360715738104928,true
2000-01-28,sh.600000,1.927287,1.9664595,1.9241532,1.9617588,1.92650355,12362712,307633593.0,2,3.090678,1,1.830015,0,-0.2882072753041522,2.0,-0.014376996805111841,false,-0.01757188498402551,false,0.02316293929712465,true
2000-02-14,sh.600000,2.03697,2.1529206,1.9977975,2.130984,1.9617588,23739132,628039204.0,2,5.934783,1,8.626197,0,0.11708565186191441,3.0,-0.05147058823529427,false,-0.07794117647058829,false,-0.06139705882352953,false
2000-02-15,sh.600000,2.130984,2.1529206,2.00954925,2.0118996,2.130984,26267678,693158484.0,2,6.56692,1,-5.588237,0,0.017732920768107358,2.0,-0.03621495327102808,false,-0.01985981308411211,false,-0.010124610591900285,false
2000-02-16,sh.600000,1.9977975,2.00171475,1.95157395,1.974294,2.0118996,19069058,478863316.0,2,4.767264,1,-1.869157,0,-0.23913296990835803,2.0,-0.023809523809523836,false,0.024603174603174738,true,-0.0023809523809523725,false
2000-02-17,sh.600000,1.97821125,2.068308,1.89829935,1.9507905,1.974294,23044792,579973766.0,2,5.761198,1,-1.190481,0,-0.2631399511170699,2.0,-0.003212851405622552,false,0.02088353413654609,true,-0.01606425702811254,false
2000-02-18,sh.600000,1.9507905,1.958625,1.9037835,1.9335546,1.9507905,9693463,237689141.0,2,2.423366,1,-0.883531,0,-0.3762636230399274,1.0,-0.0032414910858994395,false,0.05348460291734214,true,0.007293354943273878,true
2000-02-21,sh.600000,1.93903875,2.0604735,1.895949,2.021301,1.9335546,25510575,650679608.0,2,6.377644,1,4.538083,0,0.15289146601344128,4.0,-0.027906976744185963,false,-0.007751937984496138,false,-0.030232558139534738,false
2000-02-22,sh.600000,2.0275686,2.03697,1.927287,1.93903875,2.021301,10517512,264067019.0,2,2.629378,1,-4.069765,0,-0.2992710999720539,1.0,0.01696969696969708,true,0.04242424242424225,true,0.010101010101010166,true
2000-02-23,sh.600000,1.927287,1.97821125,1.9194525,1.927287,1.93903875,6914567,171007817.0,2,1.728642,1,-0.606059,0,-0.3770831597261666,1.0,0.04959349593495932,true,0.04430894308943101,true,0.030081300813008083,true
2000-02-24,sh.600000,1.927287,1.958625,1.9194525,1.9445229,1.927287,4648117,114760607.0,2,1.162029,1,0.894306,0,-0.253708025906606,2.0,0.0241740531829171,true,0.06365834004834814,true,0.027800161160354664,true
2000-02-25,sh.600000,1.9507905,1.95627465,1.9194525,1.927287,1.9445229,5814812,143173184.0,2,1.453703,1,-0.886379,0,-0.346709468489754,1.0,0.056910569105691255,true,0.04146341463414638,true,0.036991869918699294,true
2000-02-28,sh.600000,1.927287,1.97821125,1.90770075,1.9648926,1.927287,9373418,231796184.0,2,2.343355,1,1.951218,0,-0.1088069897133639,2.0,0.020733652312599604,true,0.01794258373205726,true,0.032695374800638,true
2000-02-29,sh.600000,1.97507745,2.005632,1.942956,1.97194365,1.9648926,10955908,275768296.0,2,2.738977,1,0.358852,0,-0.1946789642492447,2.0,0.02502979737783062,true,0.009932459276916994,true,0.013110846245530272,true
2000-03-01,sh.600000,1.974294,2.1231495,1.97194365,2.0228679,1.97194365,41705102,1096015251.0,2,10.426275,1,2.582438,0,0.23493188394109166,4.0,-0.005034856700232293,false,-0.026336173508907823,false,-0.02478698683191327,false
2000-03-02,sh.600000,2.0197341,2.03697,1.9664595,1.9915299,2.0228679,12999893,330633290.0,2,3.249973,1,-1.549185,0,0.07404851362335715,3.0,0.03855232100708106,true,-0.03619197482297398,false,-0.0015735641227379027,false
2000-03-03,sh.600000,2.005632,2.0918115,2.0040651,2.03697,1.9915299,16109828,420418261.0,2,4.027457,1,2.281668,0,0.2932120965247726,4.0,-0.014615384615384586,false,-0.04384615384615387,false,-0.030000000000000027,false
2000-03-06,sh.600000,2.0745756,2.1074805,2.00171475,2.005632,2.03697,20616164,542130542.0,2,5.154041,1,-1.53846,0,0.17729005590252966,4.0,-0.0027343749999999556,false,-0.022656249999999933,false,-0.014062499999999867,false
2000-03-07,sh.600000,1.974294,2.0604735,1.95940845,2.021301,2.005632,11132997,284899208.0,2,2.783249,1,0.781246,0,0.2737280008540327,4.0,-0.014728682170542573,false,-0.03100775193798433,false,-0.0348837209302324,false
2000-03-08,sh.600000,2.03697,2.0510721,1.99231335,2.01268305,2.021301,5771422,148007818.0,2,1.442855,1,-0.426351,0,0.21691136390441618,4.0,-0.02140910860256906,false,-0.013623978201634968,false,-0.02101985208252244,false
2000-03-09,sh.600000,2.0134665,2.15370405,1.9883961,2.068308,2.01268305,26490973,704219251.0,2,6.622743,1,2.763718,0,0.22708147225434167,4.0,-0.07196969696969702,false,-0.03371212121212119,false,-0.04128787878787876,false
2000-03-10,sh.600000,2.068308,2.0761425,1.99858095,2.0071989,2.068308,10570004,273452598.0,2,2.642501,1,-2.954541,0,0.1697381778119129,4.0,-0.029664324746291992,false,-0.004293520686963315,false,0.002732240437158584,true
2000-03-13,sh.600000,2.005632,2.0354031,1.9868292,2.00014785,2.0071989,5566374,142355325.0,2,1.391594,1,-0.351289,0,0.08511302160186547,3.0,-0.01997649823736769,false,0.014492753623188692,true,0.0003916960438701267,true
2000-03-14,sh.600000,1.958625,1.9915299,1.942956,1.9915299,2.00014785,11375155,285003725.0,2,2.843789,1,-0.430868,0,0.04815228563413271,3.0,-0.016522423288748977,false,0.0031471282454760274,true,0.0055074744295828815,true
2000-03-15,sh.600000,1.989963,1.9915299,1.958625,1.9695933,1.9915299,4219978,106073477.0,2,1.054995,1,-1.101498,0,-0.05586899467063808,2.0,0.007955449482895727,true,0.0015910898965791898,true,0.012330946698488443,true
2000-03-16,sh.600000,1.958625,1.9648926,1.9022166,1.9194525,1.9695933,7570241,187216559.0,2,1.89256,1,-2.545741,0,-0.33759105653788685,1.0,0.04122448979591842,true,0.03591836734693876,true,0.04489795918367334,true
2000-03-17,sh.600000,1.9194525,1.974294,1.911618,1.9476567,1.9194525,4270447,106042791.0,2,1.067612,1,1.46939,0,-0.23292777710119172,2.0,0.026146419951729616,true,0.014481094127111849,true,0.0390185036202737,true
2000-03-20,sh.600000,1.9194525,1.974294,1.9194525,1.9601919,1.9476567,4387604,109489001.0,2,1.096901,1,0.643604,0,-0.21936566005117564,2.0,0.03517186250999216,true,0.008792965627498095,true,0.01119104716227004,true
2000-03-21,sh.600000,1.9727271,1.974294,1.9445229,1.958625,1.9601919,4409904,110102522.0,2,1.102476,1,-0.079938,0,-0.21985430442510523,2.0,0.020000000000000018,true,-0.0040000000000000036,false,0.012799999999999923,true
