date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning
2018-08-07,sh.601869,44.512899,45.238104,43.750974,44.94435,43.796874,14941172,726506332.0,2,19.713777,1,2.619996,0,0.0,1.0,19.713777,-0.32799999999999996,1.0,0.011029395241003659,true,0.024101294155995046,true,0.0024509643592576236,true
2018-08-08,sh.601869,44.366022,44.366022,40.510502,40.620659,44.94435,18108233,839725136.0,2,23.892481,1,-9.620096,0,0.0,1.0,23.892481,-0.518,0.0,0.11299435097790989,true,0.07954802013428663,true,0.11254238883716772,true
2018-08-09,sh.601869,40.281006,44.265044,39.656779,42.465801,40.620659,17072171,792475233.0,2,22.525473,1,4.542369,0,0.0,1.0,22.525473,-0.32799999999999996,1.0,0.0901426773982199,true,0.0670125355695046,true,0.06376999694412921,true
2018-08-10,sh.601869,41.676337,43.879492,41.56618,43.227725,42.465801,14122576,658292547.0,2,18.6337,1,1.794211,0,0.0,1.0,18.6337,-0.32799999999999996,1.0,0.01061797723567448,true,0.033128067692667074,true,0.00998088610955139,true
2018-08-13,sh.601869,42.227126,47.551416,41.768135,46.578356,43.227725,25387945,1277795010.0,2,33.497525,1,7.751118,0,0.0,1.0,33.497525,-0.08871763317996617,2.0,-0.020102491380331267,false,0.0171462255988597,true,-0.11489948249783655,false
2018-08-14,sh.601869,44.981069,46.183624,44.613877,45.440059,46.578356,17824641,880213065.0,2,23.518302,1,-2.443835,0,0.0,1.0,23.518302,-0.11469123506305004,2.0,0.012929296592682604,true,0.05232323752044432,true,-0.07757575754908241,false
2018-08-15,sh.601869,45.485959,47.000627,44.806653,45.210564,45.440059,14221876,710973900.0,2,18.764719,1,-0.50505,0,0.0,1.0,18.764719,-0.10946762942498446,2.0,-0.030050764241737804,false,0.08446700642796667,true,-0.07553298826353938,false
2018-08-16,sh.601869,44.063088,47.34028,42.474981,46.293782,45.210564,19830540,990677183.0,2,26.164938,1,2.39594,0,0.0,1.0,26.164938,-0.04585363524311111,2.0,-0.021217536298935302,false,0.04421969671866521,true,-0.07217926156908072,false
2018-08-17,sh.601869,46.504917,46.899649,43.585738,43.686716,46.293782,15052508,742214329.0,2,19.860676,1,-5.631568,0,0.0,1.0,19.860676,-0.3626912777596799,1.0,0.022273589985569053,true,0.06955242412819507,true,-0.054843467748868946,false
2018-08-20,sh.601869,42.676937,45.798072,42.484161,45.642015,43.686716,12830823,620613183.0,2,16.929327,1,4.475732,0,0.0,1.0,16.929327,0.15154463948406055,3.0,0.03801287037831247,true,-0.01568784813729196,false,-0.11705550247945895,false
2018-08-21,sh.601869,45.706274,47.202583,44.522078,46.027567,45.642015,15452458,771323155.0,2,20.388381,1,0.844727,0,0.0,1.0,20.388381,0.04509863284437003,2.0,0.03889110627985182,true,-0.021140808941736977,false,-0.10271240276506466,false
2018-08-22,sh.601869,45.596116,45.862331,43.723435,43.851952,46.027567,11532019,561533573.0,2,15.21565,1,-4.726763,0,0.0,1.0,15.21565,-0.2478108659444419,2.0,0.11806573627554817,true,0.0305631320585229,true,-0.0508687275768247,false
2018-08-23,sh.601869,43.907031,45.770533,43.888672,45.311542,43.851952,12204866,597179906.0,2,16.103422,1,3.328449,0,0.0,1.0,16.103422,0.190496897694669,3.0,0.06685574726192267,true,-0.0030388945933467193,false,-0.09602917508302855,false
2018-08-24,sh.601869,44.705675,45.853151,44.246684,44.659776,45.311542,9760832,478943936.0,2,12.878699,1,-1.43841,0,0.0,1.0,12.878699,-0.032771936977189955,2.0,0.04624870935313252,true,-0.02240494891868694,false,-0.06248716966247214,false
2018-08-27,sh.601869,45.531858,48.469397,45.238104,47.376999,44.659776,19302697,990915749.0,2,25.468488,1,6.084273,0,0.0,1.0,25.468488,0.04045365787256454,2.0,-0.05173415479524146,false,-0.12981978871223987,false,-0.12323192948544492,false
2018-08-28,sh.601869,47.514697,49.589334,47.3311,47.81763,47.376999,19236053,1010718059.0,2,25.380556,1,0.930051,0,0.0,1.0,25.380556,0.14605922169457367,3.0,-0.05778460789461959,false,-0.12344020395824729,false,-0.12478401794484584,false
2018-08-29,sh.601869,47.735012,49.029365,46.697693,49.029365,47.81763,14178772,738356278.0,2,18.707846,1,2.534075,0,0.0,1.0,18.707846,0.1637348031556899,3.0,-0.07826248616517872,false,-0.1475379091693314,false,-0.18180115120805662,false
2018-08-30,sh.601869,49.203782,49.378198,47.652394,48.340879,49.029365,13017990,686719562.0,2,17.17628,1,-1.404231,0,0.0,1.0,17.17628,0.14716795398249094,3.0,-0.06551461341859344,false,-0.11146979764269493,false,-0.16312189937630217,false
2018-08-31,sh.601869,48.194003,48.983466,46.578356,46.725233,48.340879,13017604,680802216.0,2,17.17577,1,-3.342192,0,0.0,1.0,17.17577,0.27764682024146126,3.0,-0.06561887021515767,false,-0.11630649332449561,false,-0.21237721810825427,false
2018-09-03,sh.601869,45.981668,46.40394,43.236905,44.92599,46.725233,12472828,606664423.0,2,16.456979,1,-3.850693,0,0.0,1.0,16.456979,-0.180176177893199,2.0,-0.08234572014996222,false,-0.10298323976833901,false,-0.1851246461124173,false
2018-09-04,sh.601869,44.788293,45.687914,43.97129,45.054507,44.92599,9869461,483418999.0,2,13.022027,1,0.286071,0,0.0,1.0,13.022027,-0.2058458772279403,2.0,-0.06968215188771243,false,-0.08333332778449887,false,-0.18092909106740418,false
2018-09-05,sh.601869,45.036148,46.541637,44.43028,45.192205,45.054507,12443625,619278887.0,2,16.418447,1,0.305619,0,0.0,1.0,16.418447,-0.2183382018593168,2.0,-0.07515743035773537,false,-0.07901685700000693,false,-0.26508226363373955,false
2018-09-06,sh.601869,44.595517,45.88987,43.851952,45.173845,45.192205,10227823,501619445.0,2,13.49486,1,-0.040627,0,0.0,1.0,13.49486,-0.2077126577588967,2.0,-0.049176996113569627,false,-0.09327372952202762,false,-0.27900832882390236,false
2018-09-07,sh.601869,44.990249,46.174444,43.512299,43.659176,45.173845,12183781,594457837.0,2,16.075602,1,-3.352973,0,0.0,1.0,16.075602,-0.4045205919897511,0.0,-0.05424726751599718,false,-0.04100084252620806,false,-0.25336417251667787,false
2018-09-10,sh.601869,43.246085,43.649997,41.116369,41.226527,43.659176,10190802,468576112.0,2,13.446013,1,-5.571912,0,0.0,1.0,13.446013,-0.5208771792376085,0.0,-0.02248942774151208,false,0.007570683797837319,true,-0.20396348205610426,false
2018-09-11,sh.601869,41.410123,42.474981,41.033751,41.915012,41.226527,6649984,303111980.0,2,8.774164,1,1.670007,0,0.0,1.0,8.774164,-0.5546286513187353,0.0,-0.014673668708480747,false,-0.0015330545533422946,false,-0.20280332974734683,false
