date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2023-08-24,sz.002384,17.900517,18.322514,17.880889,17.979028,17.822006,19114055,352345232.14,2,1.3748,1,0.8811,0,24.267,1.240904,1.705995,-0.4460638110621014,1.0,0.0262008602467274,True,-0.0120087137079935,False,-0.064956348029493,False,-0.44606381106210147,1.0,0.02620086024672741,true,-0.012008713707993501,false,-0.06495634802949302,false,-0.4587277932084157,1.0,0.02620086024672741,true,-0.012008713707993501,false,-0.06495634802949302,false
2023-08-25,sz.002384,17.890703,17.890703,17.360754,17.52759,17.979028,20172298,362116425.01,2,1.451,1,-2.5109,0,24.267,1.240904,1.800552,-0.4604607128607578,1.0,0.0716684952124051,True,-0.0016797517513816,False,-0.0139977601027864,False,-0.46046071286075785,1.0,0.07166849521240515,true,-0.0016797517513816862,false,-0.013997760102786416,false,-0.473759446358458,1.0,0.07166849521240515,true,-0.0016797517513816862,false,-0.013997760102786416,false
2023-08-28,sz.002384,18.597303,18.705255,17.557031,17.645356,17.52759,29442708,540322819.99,2,2.1178,1,0.6719,0,24.267,1.240904,2.627986,-0.4514732613973566,1.0,0.0672970270477966,True,0.000556180334361,True,-0.0372636290251101,False,-0.45147326139735666,1.0,0.06729702704779661,true,0.0005561803343610006,true,-0.037263629025110157,false,-0.46513424890995714,1.0,0.06729702704779661,true,0.0005561803343610006,true,-0.037263629025110157,false
2023-08-29,sz.002384,17.635542,18.381397,17.449079,18.273445,17.645356,30121830,556430778.82,2,2.1666,1,3.5595,0,24.267,1.240904,2.688543,-0.4182850802063727,1.0,0.0177228760094225,True,0.0150375585993773,True,-0.0870032443253036,False,-0.4182850802063727,1.0,0.017722876009422572,true,0.015037558599377387,true,-0.0870032443253036,false,-0.43351570960808483,1.0,0.017722876009422572,true,0.015037558599377387,true,-0.0870032443253036,false
2023-08-30,sz.002384,18.459908,19.019299,18.430467,18.715069,18.273445,32009529,610755057.34,2,2.3024,1,2.4168,0,24.267,1.240904,2.857057,-0.4209331693032668,1.0,-0.0057682394865868,False,-0.0571578443018296,False,-0.0985841409401162,False,-0.42093316930326685,1.0,-0.00576823948658689,false,-0.057157844301829686,false,-0.09858414094011625,false,-0.4366660751624515,1.0,-0.00576823948658689,false,-0.057157844301829686,false,-0.09858414094011625,false
2023-08-31,sz.002384,18.695441,18.754325,18.351956,18.450094,18.715069,22952529,433457124.77,2,1.6509,1,-1.4158,0,23.549,1.232122,2.03411,-0.4277047252769401,1.0,-0.03723401084027,False,-0.0441489349593556,False,-0.0776595501356252,False,-0.42770472527694015,1.0,-0.037234010840270004,false,-0.04414893495935568,false,-0.0776595501356252,false,-0.44238645494620144,1.0,-0.037234010840270004,false,-0.04414893495935568,false,-0.0776595501356252,false
2023-09-01,sz.002384,18.450094,18.97023,18.450094,18.783766,18.450094,21826042,416620025.84,2,1.5699,1,1.8085,0,23.549,1.232122,1.934308,-0.3199865309111556,1.0,-0.0684430374611778,False,-0.067398092586971,False,-0.0783699072912216,False,-0.3199865309111556,1.0,-0.06844303746117786,false,-0.06739809258697105,false,-0.07836990729122162,false,-0.33254603985079434,1.0,-0.06844303746117786,false,-0.06739809258697105,false,-0.07836990729122162,false
2023-09-04,sz.002384,18.891719,18.940788,18.636558,18.832836,18.783766,22849661,437095525.95,2,1.6435,1,0.2612,0,23.549,1.232122,2.024993,-0.3096395809296862,1.0,-0.062532589356165,False,-0.0651380917881938,False,-0.0776445990396773,False,-0.30963958092968624,1.0,-0.06253258935616501,false,-0.06513809178819385,false,-0.07764459903967735,false,-0.31972192797374166,1.0,-0.06253258935616501,false,-0.06513809178819385,false,-0.07764459903967735,false
2023-09-05,sz.002384,18.79358,18.960416,18.548233,18.597303,18.832836,19160930,364701969.19,2,1.3782,1,-1.2507,0,23.549,1.232122,1.698111,-0.3054987857611145,1.0,-0.0026385546334326,False,-0.0722955366162501,False,-0.0369393346981549,False,-0.3054987857611145,1.0,-0.002638554633432655,false,-0.0722955366162501,false,-0.03693933469815491,false,-0.31368669804749294,1.0,-0.002638554633432655,false,-0.0722955366162501,false,-0.03693933469815491,false
2023-09-06,sz.002384,18.508978,18.705255,18.381397,18.607116,18.597303,20748302,392659115.9,2,1.4924,1,0.0528,0,23.549,1.232122,1.838819,-0.3053035325854648,1.0,-0.0516877521481567,False,-0.0849155774597203,False,0.0105485449760187,True,-0.30530353258546483,1.0,-0.051687752148156796,false,-0.08491557745972034,false,0.010548544976018759,true,-0.3129601974531839,1.0,-0.051687752148156796,false,-0.08491557745972034,false,0.010548544976018759,true
2023-09-07,sz.002384,18.558047,18.577675,17.65517,17.763123,18.607116,44401155,809243952.0,2,3.1937,1,-4.5359,0,23.549,1.232122,3.935028,-0.3737217428635351,1.0,-0.007182351887109,False,-0.0535911956472969,False,0.0596685053636121,True,-0.3737217428635351,1.0,-0.007182351887109029,false,-0.053591195647296974,false,0.05966850536361212,true,-0.38386012458743035,1.0,-0.007182351887109029,false,-0.053591195647296974,false,0.05966850536361212,true
