date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn
2003-01-15,sh.600522,1.658261,1.730104,1.643599,1.655329,1.664126,5005226,57510930.000000,2,7.150323,1,-0.530000,0,0.000000,1.000000,7.150323
2003-01-16,sh.600522,1.656795,1.800481,1.656795,1.744766,1.655329,6037026,71738733.000000,2,8.624323,1,5.400000,0,0.000000,1.000000,8.624323
2003-01-17,sh.600522,1.744766,1.756496,1.715442,1.738901,1.744766,3616926,42727018.000000,2,5.167037,1,-0.340000,0,0.000000,1.000000,5.167037
2003-01-20,sh.600522,1.733037,1.735969,1.697848,1.725706,1.738901,1804407,21155412.000000,2,2.577724,1,-0.760000,0,0.000000,1.000000,2.577724
2003-01-21,sh.600522,1.731570,1.753563,1.665592,1.668524,1.725706,2558468,29726633.000000,2,3.654954,1,-3.310000,0,0.000000,1.000000,3.654954
2003-01-22,sh.600522,1.653862,1.686119,1.649464,1.680254,1.668524,1585660,18028458.000000,2,2.265229,1,0.700000,0,0.000000,1.000000,2.265229
2003-01-23,sh.600522,1.653862,1.706645,1.639200,1.643599,1.680254,1455202,16531538.000000,2,2.078860,1,-2.180000,0,0.000000,1.000000,2.078860
2003-01-24,sh.600522,1.645065,1.699314,1.643599,1.690517,1.643599,1556919,17784430.000000,2,2.224170,1,2.850000,0,0.000000,1.000000,2.224170
2003-01-27,sh.600522,1.699314,1.738901,1.694916,1.719841,1.690517,2486390,29188442.000000,2,3.551986,1,1.730000,0,0.000000,1.000000,3.551986
2003-01-28,sh.600522,1.721307,1.734503,1.713976,1.730104,1.719841,1777692,20923294.000000,2,2.539560,1,0.600000,0,0.000000,1.000000,2.539560
2003-01-29,sh.600522,1.730104,1.749165,1.718375,1.724239,1.730104,2013519,23848080.000000,2,2.876456,1,-0.340000,0,0.000000,1.000000,2.876456
2003-02-10,sh.600522,1.727172,1.727172,1.664126,1.672923,1.724239,1140044,13109607.000000,2,1.628634,1,-2.980000,0,0.000000,1.000000,1.628634
2003-02-11,sh.600522,1.668524,1.691983,1.662659,1.691983,1.672923,479408,5491076.000000,2,0.684869,1,1.140000,0,0.000000,1.000000,0.684869
2003-02-12,sh.600522,1.691983,1.721307,1.668524,1.719841,1.691983,957271,11084940.000000,2,1.367530,1,1.650000,0,0.000000,1.000000,1.367530
2003-02-13,sh.600522,1.721307,1.774090,1.709578,1.724239,1.719841,2889615,34344797.000000,2,4.128021,1,0.260000,0,0.000000,1.000000,4.128021
2003-02-14,sh.600522,1.715442,1.744766,1.709578,1.722773,1.724239,1070348,12623366.000000,2,1.529069,1,-0.090000,0,0.000000,1.000000,1.529069
2003-02-17,sh.600522,1.722773,1.744766,1.691983,1.713976,1.722773,1149274,13405627.000000,2,1.641820,1,-0.510000,0,0.000000,1.000000,1.641820
2003-02-18,sh.600522,1.712510,1.722773,1.686119,1.713976,1.713976,790769,9165406.000000,2,1.129670,1,0.000000,0,0.000000,1.000000,1.129670
2003-02-19,sh.600522,1.700780,1.731570,1.691983,1.730104,1.713976,923576,10777823.000000,2,1.319394,1,0.940000,0,0.000000,1.000000,1.319394
2003-02-20,sh.600522,1.733037,1.756496,1.718375,1.733037,1.730104,1651469,19573167.000000,2,2.359241,1,0.170000,0,0.000000,1.000000,2.359241
2003-02-21,sh.600522,1.727172,1.733037,1.683186,1.687585,1.733037,1467545,16982860.000000,2,2.096493,1,-2.620000,0,0.000000,1.000000,2.096493
2003-02-24,sh.600522,1.686119,1.716908,1.683186,1.700780,1.687585,960398,11134156.000000,2,1.371997,1,0.780000,0,0.000000,1.000000,1.371997
2003-02-25,sh.600522,1.700780,1.752097,1.700780,1.752097,1.700780,3206660,38049454.000000,2,4.580943,1,3.020000,0,0.000000,1.000000,4.580943
2003-02-26,sh.600522,1.752097,1.752097,1.752097,1.752097,1.752097,0,0.000000,2,,0,0.000000,0,,,
2003-02-27,sh.600522,1.763827,1.781421,1.703713,1.712510,1.752097,3283269,38586645.000000,2,4.690384,1,-2.260000,0,0.000000,1.000000,4.690384
2003-02-28,sh.600522,1.712510,1.752097,1.712510,1.744766,1.712510,2390814,28309728.000000,2,3.415449,1,1.880000,0,0.000000,1.000000,3.415449
2003-03-03,sh.600522,1.749165,1.796083,1.749165,1.788752,1.744766,4977871,60385587.000000,2,7.111244,1,2.520000,0,0.000000,1.000000,7.111244
2003-03-04,sh.600522,1.788752,1.793150,1.759428,1.779955,1.788752,1879352,22727242.000000,2,2.684789,1,-0.490000,0,0.000000,1.000000,2.684789
2003-03-05,sh.600522,1.779955,1.779955,1.738901,1.757962,1.779955,1303618,15575777.000000,2,1.862311,1,-1.240000,0,0.000000,1.000000,1.862311
2003-03-06,sh.600522,1.757962,1.757962,1.715442,1.721307,1.757962,1522444,17953241.000000,2,2.174920,1,-2.090000,0,0.000000,1.000000,2.174920
2003-03-07,sh.600522,1.715442,1.734503,1.708111,1.711044,1.721307,819182,9602526.000000,2,1.170260,1,-0.600000,0,0.000000,1.000000,1.170260
2003-03-10,sh.600522,1.715442,1.722773,1.677321,1.678788,1.711044,1185970,13670949.000000,2,1.694243,1,-1.890000,0,0.000000,1.000000,1.694243
2003-03-11,sh.600522,1.683186,1.693449,1.668524,1.678788,1.678788,611342,7005268.000000,2,0.873346,1,0.000000,0,0.000000,1.000000,0.873346
2003-03-12,sh.600522,1.671457,1.696382,1.668524,1.694916,1.678788,629040,7207354.000000,2,0.898629,1,0.960000,0,0.000000,1.000000,0.898629
2003-03-13,sh.600522,1.696382,1.697848,1.653862,1.653862,1.694916,906165,10336787.000000,2,1.294521,1,-2.420000,0,0.000000,1.000000,1.294521
2003-03-14,sh.600522,1.664126,1.668524,1.642133,1.647998,1.653862,787099,8889697.000000,2,1.124427,1,-0.350000,0,0.000000,1.000000,1.124427
2003-03-17,sh.600522,1.639200,1.649464,1.609877,1.633336,1.647998,1035616,11496806.000000,2,1.479451,1,-0.890000,0,0.000000,1.000000,1.479451
2003-03-18,sh.600522,1.643599,1.665592,1.617208,1.618674,1.633336,663480,7445329.000000,2,0.947829,1,-0.900000,0,0.000000,1.000000,0.947829
2003-03-19,sh.600522,1.615741,1.642133,1.605478,1.626005,1.618674,580935,6431544.000000,2,0.829907,1,0.450000,0,0.000000,1.000000,0.829907
2003-03-20,sh.600522,1.627471,1.636268,1.606944,1.611343,1.626005,609684,6738679.000000,2,0.870977,1,-0.900000,0,0.000000,1.000000,0.870977
2003-03-21,sh.600522,1.601079,1.637734,1.601079,1.634802,1.611343,560315,6214064.000000,2,0.800450,1,1.460000,0,0.000000,1.000000,0.800450
2003-03-24,sh.600522,1.646531,1.646531,1.626005,1.633336,1.634802,283454,3157413.000000,2,0.404934,1,-0.090000,0,0.000000,1.000000,0.404934
2003-03-25,sh.600522,1.633336,1.633336,1.595215,1.596681,1.633336,744863,8177767.000000,2,1.064090,1,-2.240000,0,0.000000,1.000000,1.064090
2003-03-26,sh.600522,1.590816,1.598147,1.558560,1.560026,1.596681,718507,7698543.000000,2,1.026439,1,-2.300000,0,0.000000,1.000000,1.026439
2003-03-27,sh.600522,1.554161,1.649464,1.521905,1.634802,1.560026,1893438,20420096.000000,2,2.704911,1,4.790000,0,0.000000,1.000000,2.704911
2003-03-28,sh.600522,1.634802,1.640667,1.584951,1.596681,1.634802,1201836,13264579.000000,2,1.716909,1,-2.330000,0,0.000000,1.000000,1.716909
2003-03-31,sh.600522,1.593749,1.605478,1.570289,1.604012,1.596681,909815,9859390.000000,2,1.299736,1,0.460000,0,0.000000,1.000000,1.299736
2003-04-01,sh.600522,1.604012,1.642133,1.599613,1.631869,1.604012,1284420,14234792.000000,2,1.834886,1,1.740000,0,0.000000,1.000000,1.834886
2003-04-02,sh.600522,1.627471,1.637734,1.618674,1.623072,1.631869,631231,6998687.000000,2,0.901759,1,-0.540000,0,0.000000,1.000000,0.901759
2003-04-03,sh.600522,1.627471,1.636268,1.608410,1.609877,1.623072,551338,6076504.000000,2,0.787626,1,-0.810000,0,0.000000,1.000000,0.787626
2003-04-04,sh.600522,1.608410,1.626005,1.598147,1.601079,1.609877,681442,7468611.000000,2,0.973489,1,-0.550000,0,0.000000,1.000000,0.973489
2003-04-07,sh.600522,1.655329,1.655329,1.580553,1.583485,1.601079,729461,7994434.000000,2,1.042087,1,-1.100000,0,0.000000,1.000000,1.042087
2003-04-08,sh.600522,1.576154,1.618674,1.574688,1.583485,1.583485,750104,8126526.000000,2,1.071577,1,0.000000,0,0.000000,1.000000,1.071577
2003-04-09,sh.600522,1.590816,1.590816,1.539500,1.584951,1.583485,1479938,15747329.000000,2,2.114197,1,0.090000,0,0.000000,1.000000,2.114197
2003-04-10,sh.600522,1.583485,1.620140,1.549763,1.604012,1.584951,2095735,22511433.000000,2,2.993907,1,1.200000,0,0.000000,1.000000,2.993907
2003-04-11,sh.600522,1.601079,1.612809,1.568823,1.601079,1.604012,1838057,19943578.000000,2,2.625796,1,-0.180000,0,0.000000,1.000000,2.625796
2003-04-14,sh.600522,1.605478,1.677321,1.605478,1.662659,1.601079,2846558,32133289.000000,2,4.066511,1,3.850000,0,0.000000,1.000000,4.066511
2003-04-15,sh.600522,1.664126,1.693449,1.649464,1.691983,1.662659,2180949,24789089.000000,2,3.115641,1,1.760000,0,0.000000,1.000000,3.115641
2003-04-16,sh.600522,1.694916,1.718375,1.630403,1.637734,1.691983,2639562,30123253.000000,2,3.770803,1,-3.210000,0,0.000000,1.000000,3.770803
2003-04-17,sh.600522,1.634802,1.715442,1.628937,1.683186,1.637734,2934498,33615484.000000,2,4.192140,1,2.780000,0,0.000000,1.000000,4.192140
2003-04-18,sh.600522,1.690517,1.712510,1.649464,1.653862,1.683186,1319415,15019455.000000,2,1.884879,1,-1.740000,0,0.000000,1.000000,1.884879
2003-04-21,sh.600522,1.645065,1.645065,1.589350,1.602546,1.653862,1363024,14986900.000000,2,1.947177,1,-3.100000,0,0.000000,1.000000,1.947177
2003-04-22,sh.600522,1.617208,1.624539,1.583485,1.583485,1.602546,690723,7519418.000000,2,0.986747,1,-1.190000,0,0.000000,1.000000,0.986747
