date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2019-08-02,sz.002281,25.856141,26.644907,25.606044,26.375572,26.818051,13931969,379760834.99,2,2.2165,1,-1.6499,0,0.0,1.0,2.2165,0.10562885874401387,3.0,-0.042669558028921584,false,-0.010576225607543233,false,0.04157551540493598,true,0.10562885874401387,3.0,-0.042669558028921584,false,-0.010576225607543233,false,0.04157551540493598,true
2019-08-05,sz.002281,26.289,27.385578,26.115856,26.529478,26.375572,18549483,517334621.75,2,2.9511,1,0.5835,0,0.0,1.0,2.9511,0.13471504082673533,3.0,-0.019579427834954033,false,0.03372007545719513,true,0.0667149952969297,true,0.13471504082673533,3.0,-0.019579427834954033,false,0.03372007545719513,true,0.0667149952969297,true
2019-08-06,sz.002281,25.836903,27.058528,25.404043,27.010433,26.529478,21657640,592818499.65,2,3.4456,1,1.8129,0,0.0,1.0,3.4456,0.20236374716358468,3.0,-0.03881766723250979,false,0.0,false,0.07264955730254319,true,0.20236374716358468,3.0,-0.03881766723250979,false,0.0,false,0.07264955730254319,true
2019-08-07,sz.002281,27.000814,27.010433,25.952332,25.97157,27.010433,19659205,539411432.17,2,3.1276,1,-3.8462,0,0.0,1.0,3.1276,-0.14103996318559736,2.0,-0.005925941327382223,false,0.042592573340772155,true,0.11333334873478962,true,-0.14103996318559736,2.0,-0.005925941327382223,false,0.042592573340772155,true,0.11333334873478962,true
2019-08-08,sz.002281,25.97157,26.337096,25.731092,26.173571,25.97157,10403615,282301194.32,2,1.6551,1,0.7778,0,0.0,1.0,1.6551,0.031079261415164712,3.0,-0.007717747035740685,false,0.018743105402010407,true,0.1606027316639369,true,0.031079261415164712,3.0,-0.007717747035740685,false,0.018743105402010407,true,0.1606027316639369,true
2019-08-09,sz.002281,26.346715,26.433287,25.028898,25.250138,26.173571,16164067,430797532.57,2,2.5716,1,-3.5281,0,0.0,1.0,2.5716,-0.298,1.0,0.033523777176980074,true,0.035047610432861864,true,0.21752380125605653,true,-0.298,1.0,0.033523777176980074,true,0.035047610432861864,true,0.21752380125605653,true
2019-08-12,sz.002281,25.250138,26.029285,24.58642,26.010046,25.250138,14689678,386837140.51,2,2.337,1,3.0095,0,0.0,1.0,2.337,-0.11751567992319972,2.0,0.054363917695493535,true,0.045488193292699375,true,0.21338758878011976,true,-0.11751567992319972,2.0,0.054363917695493535,true,0.045488193292699375,true,0.21338758878011976,true
2019-08-13,sz.002281,25.682997,26.125476,25.509853,25.961951,26.010046,10068610,270678546.39,2,1.6018,1,-0.1849,0,0.0,1.0,1.6018,-0.16621017166742694,2.0,0.040385331595456764,true,0.06446830594511188,true,0.17376806542774847,true,-0.16621017166742694,2.0,0.040385331595456764,true,0.06446830594511188,true,0.17376806542774847,true
2019-08-14,sz.002281,26.577573,26.741098,25.808045,25.817664,25.961951,14440442,394638446.43,2,2.2974,1,-0.5558,0,0.0,1.0,2.2974,-0.21342665448900916,1.0,0.04880774651029629,true,0.06929956947305538,true,0.16766021124141983,true,-0.21342665448900916,1.0,0.04880774651029629,true,0.06929956947305538,true,0.16766021124141983,true
2019-08-15,sz.002281,24.923088,26.144714,24.769182,25.97157,25.817664,11762408,312965396.32,2,1.8713,1,0.5961,0,0.0,1.0,1.8713,-0.15714071630158014,2.0,0.02666665896593856,true,0.051851851851851816,true,0.18296294756150666,true,-0.15714071630158014,2.0,0.02666665896593856,true,0.051851851851851816,true,0.18296294756150666,true
2019-08-16,sz.002281,26.029285,26.51024,25.856141,26.096618,25.97157,12080538,328763294.73,2,1.9219,1,0.4815,0,0.0,1.0,1.9219,0.044424096186924195,3.0,0.0014744056107194314,true,0.05270920546102942,true,0.16844822574327445,true,0.044424096186924195,3.0,0.0014744056107194314,true,0.05270920546102942,true,0.16844822574327445,true
